CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
junit4331,junit4,331,junit.runner.BaseTestRunner.filterLine(String),12,2.08333333,8.5,0.708,10.5,0.875,25,0,0,25,0,0,0,0,0,0,3,6,3,0.25,0.5,0.25,0,53,1,1.007782219,0.875,1.328768227,0.125
gson7,gson,7,com.google.gson.Gson.atomicLongArrayAdapter(TypeAdapter<Number>),24,5.5,15.6666667,0.653,23,0.95833333,132,18,6,132,40,22,0.13636364,0.04545455,0.3030303,0.16666667,1,19,1,0.04166667,0.79166667,0.04166667,0,6,1,0.834374347,0.972718125,1.269979216,0.171796072
spark9,spark,9,spark.staticfiles.StaticFilesConfiguration.configure(String),11,16.4545455,7.11111111,0.646,9,0.81818182,181,56,0,181,137,0,0.30939227,0,0.75690608,0,3,10,3,0.27272727,0.90909091,0.27272727,0,40,1,1.016394535,0.81818182,1.292060947,0.18181818
opennlp57,opennlp,57,opennlp.tools.util.AbstractEventStream.read(),40,1.4,28.4,0.710,35,0.875,56,11,6,56,33,10,0.19642857,0.10714286,0.58928571,0.17857143,5,10,7,0.125,0.25,0.175,0,34,1,0.830885007,0.893035697,1.200154113,0.217974209
gson2,gson,2,com.google.gson.GsonBuilder.create(),11,11.4545455,8.09677419,0.736,11,1,126,25,11,126,67,39,0.1984127,0.08730159,0.53174603,0.30952381,1,9,1,0.09090909,0.81818182,0.09090909,0,78,1,0.69047619,1.046807045,1.215219062,0.30952381
opennlp131,opennlp,131,"opennlp.tools.postag.POSSampleEventStream.generateEvents(String[],String[],Object[],POSContextGenerator)",11,3.18181818,5.91666667,0.538,7,0.63636364,35,1,0,35,10,7,0.02857143,0,0.28571429,0.2,2,6,2,0.18181818,0.54545455,0.18181818,0,33,1,0.878766978,0.667052234,1.022232206,0.415007714
mybatis-3145,mybatis-3,145,"org.apache.ibatis.builder.xml.XMLStatementBuilder.parseSelectKeyNode(String,XNode,Class<?>,LanguageDriver,String)",30,1,14.2258065,0.474,19,0.63333333,30,9,9,30,8,6,0.3,0.3,0.26666667,0.2,1,22,-1,0.03333333,0.73333333,-0.0333333,0,103,1,0.880025254,0.664161958,1.020348522,0.417665472
mybatis-350,mybatis-3,50,"org.apache.ibatis.builder.MapperBuilderAssistant.applyCurrentNamespace(String,boolean)",18,1.16666667,10.6363636,0.591,11,0.61111111,21,5,2,21,8,4,0.23809524,0.0952381,0.38095238,0.19047619,6,12,12,0.33333333,0.66666667,0.66666667,0,54,1,0.89808873,0.640107778,1.014290682,0.433030885
jcodec79,jcodec,79,"org.jcodec.codecs.h264.decode.SliceReader.readMBlock(MBlock,SliceType)",11,2.27272727,6.36363636,0.579,7,0.63636364,25,6,2,25,19,6,0.24,0.08,0.76,0.24,3,12,3,0.27272727,1.09090909,0.27272727,0,51,1,0.842514927,0.680116668,0.991240981,0.435696457
opennlp92,opennlp,92,"opennlp.tools.parser.AbstractContextGenerator.cons2(List<String>,Cons,Cons,Collection<Parse>,boolean)",31,1.64516129,17.4833333,0.564,19.5,0.62903226,51,11,10,51,16,12,0.21568628,0.19607843,0.31372549,0.23529412,14,29,153,0.4516129,0.93548387,4.93548387,0,253,1,0.849936555,0.671598769,0.990180118,0.43929533
