,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
0,junit4331,junit4,331,junit.runner.BaseTestRunner.filterLine(String),12,2.08333333,8.5,0.708,10.5,0.875,25,0,0,25,0,0,0,0,0,0,3,6,3,0.25,0.5,0.25,0,53,1,1.007782219,0.875,1.328768227,0.125
1,gson7,gson,7,com.google.gson.Gson.atomicLongArrayAdapter(TypeAdapter<Number>),24,5.5,15.6666667,0.653,23,0.95833333,132,18,6,132,40,22,0.13636364,0.04545455,0.3030303,0.16666667,1,19,1,0.04166667,0.79166667,0.04166667,0,6,1,0.834374347,0.972718125,1.269979216,0.171796072
2,spark9,spark,9,spark.staticfiles.StaticFilesConfiguration.configure(String),11,16.4545455,7.11111111,0.646,9,0.81818182,181,56,0,181,137,0,0.30939227,0,0.75690608,0,3,10,3,0.27272727,0.90909091,0.27272727,0,40,1,1.016394535,0.81818182,1.292060947,0.18181818
4,gson2,gson,2,com.google.gson.GsonBuilder.create(),11,11.4545455,8.09677419,0.736,11,1,126,25,11,126,67,39,0.1984127,0.08730159,0.53174603,0.30952381,1,9,1,0.09090909,0.81818182,0.09090909,0,78,1,0.69047619,1.046807045,1.215219062,0.30952381
5,opennlp131,opennlp,131,"opennlp.tools.postag.POSSampleEventStream.generateEvents(String[],String[],Object[],POSContextGenerator)",11,3.18181818,5.91666667,0.538,7,0.63636364,35,1,0,35,10,7,0.02857143,0,0.28571429,0.2,2,6,2,0.18181818,0.54545455,0.18181818,0,33,1,0.878766978,0.667052234,1.022232206,0.415007714
8,jcodec79,jcodec,79,"org.jcodec.codecs.h264.decode.SliceReader.readMBlock(MBlock,SliceType)",11,2.27272727,6.36363636,0.579,7,0.63636364,25,6,2,25,19,6,0.24,0.08,0.76,0.24,3,12,3,0.27272727,1.09090909,0.27272727,0,51,1,0.842514927,0.680116668,0.991240981,0.435696457
13,spark11,spark,11,spark.staticfiles.StaticFilesConfiguration.configureExternal(String),20,8.85,9.6,0.48,11,0.55,177,41,0,177,95,0,0.23163842,0,0.53672316,0,5,16,7,0.25,0.8,0.35,11,50,0.81967213,1.09658561,0.55,1.141271221,0.45
21,jcodec471,jcodec,471,org.jcodec.codecs.h264.decode.SliceHeaderReader.readReorderingEntries(BitReader),10,2.2,5.625,0.563,6,0.6,22,5,1,22,8,6,0.22727273,0.04545455,0.36363636,0.27272727,3,10,3,0.3,1,0.3,0,34,1,0.830015436,0.659075234,0.942828523,0.484128251
22,jcodec366,jcodec,366,"org.jcodec.codecs.h264.decode.BlockInterpolator.getChromaXXUnsafe(byte[],int,int,byte[],int,int,int,int,int,int,int,int)",17,1.47058824,8.59259259,0.505,9,0.52941176,25,2,2,25,3,3,0.08,0.08,0.12,0.12,3,13,3,0.17647059,0.76470588,0.17647059,0,148,1,0.997924492,0.542841424,1.026974592,0.485647291
26,mybatis-3136,mybatis-3,136,"org.apache.ibatis.executor.resultset.ResultSetWrapper.loadMappedAndUnmappedColumnNames(ResultMap,String)",14,1.5,7.7826087,0.556,7,0.5,21,3,0,21,4,0,0.14285714,0,0.19047619,0,4,13,6,0.28571429,0.92857143,0.42857143,0,70,1,1.118033989,0.5,1.118033989,0.5
