"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:63 |","1","1","com.lmax.disruptor.dsl.DisruptorTest.shouldAllowChainingEventHandlersWithSuperType [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:63 |","1","2","com.lmax.disruptor.ShutdownOnFatalExceptionTest.shouldShutdownGracefulEvenWithFatalExceptionHandler [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:64 |","1","1","com.lmax.disruptor.dsl.DisruptorTest.shouldAllowChainingEventHandlersWithSuperType [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:64 |","1","2","com.lmax.disruptor.ShutdownOnFatalExceptionTest.shouldShutdownGracefulEvenWithFatalExceptionHandler [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:65 |","1","1","com.lmax.disruptor.dsl.DisruptorTest.shouldAllowChainingEventHandlersWithSuperType [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:65 |","1","2","com.lmax.disruptor.ShutdownOnFatalExceptionTest.shouldShutdownGracefulEvenWithFatalExceptionHandler [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:66 |","1","1","com.lmax.disruptor.dsl.DisruptorTest.shouldAllowChainingEventHandlersWithSuperType [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:66 |","1","2","com.lmax.disruptor.ShutdownOnFatalExceptionTest.shouldShutdownGracefulEvenWithFatalExceptionHandler [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:67 |","1","1","com.lmax.disruptor.dsl.DisruptorTest.shouldAllowChainingEventHandlersWithSuperType [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor/src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java:67 |","1","2","com.lmax.disruptor.ShutdownOnFatalExceptionTest.shouldShutdownGracefulEvenWithFatalExceptionHandler [/home/a1600128/fast/ginnoroot/ginexp/casestudies/disruptor]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
