"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:310 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:311 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:312 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:313 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:314 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:315 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:317 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"8","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:318 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:319 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:320 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"11","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:321 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
