"Project","MethodIndex","Method","Count","Tests"
"junit4","69","org.junit.runners.model.RunnerBuilder.runners(Class<?>[])","58","junit.tests.framework.ComparisonCompactorTest.testComparisonErrorStartSameComplete [],org.junit.tests.running.classes.BlockJUnit4ClassRunnerTest.methodBlockAfterFireTestStarted [],org.junit.tests.running.classes.ParameterizedTestTest.multipleParametersBeforeParamAndAfterParamAreRun [],org.junit.rules.RuleMemberValidatorTest.rejectArbitraryObjectWithRuleAnnotation [],org.junit.rules.TestRuleTest.validateWrongTypedField [],org.junit.runners.RuleContainerTest.testRuleAroundMethodRule [],org.junit.rules.TemporaryFolderUsageTest.newFolderWithGivenPathThrowsIllegalStateExceptionIfCreateWasNotInvoked [],org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.dataPointsArrayMethodMayContainNullValue [],org.junit.tests.running.classes.ParentRunnerTest.assertionErrorAtParentLevelTest [],org.junit.tests.assertion.AssertionTest.objectsWithDiferentReferencesAreNotEqual [],junit.tests.runner.ResultTest.testRunFailureResultCanBeReserialised_v4_12 [],org.junit.tests.assertion.AssertionTest.equals [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.shouldFilterOutNullSingleDataPoints [],junit.tests.framework.AssertTest.testAssertNotNull [],org.junit.tests.experimental.theories.AssumingInTheoriesTest.noTheoryAnnotationMeansAssumeShouldIgnore [],org.junit.tests.running.methods.TimeoutTest.failureWithTimeoutRunTimeException [],org.junit.tests.assertion.AssertionTest.assertNotEqualsIgnoresDeltaOnNaN [],org.junit.AssumptionViolatedExceptionTest.toStringReportsMatcher [],org.junit.tests.junit3compatibility.JUnit4TestAdapterTest.testJUnit3Suite [],org.junit.internal.StackTracesTest.getTrimmedStackForJUnit4TestFailingInTestMethod [],org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteContainsItselfIndirectly [],org.junit.tests.running.methods.AnnotationTest.testErrorInAfterClass [],org.junit.tests.running.methods.AnnotationTest.testTeardownAfterFailure [],org.junit.tests.junit3compatibility.ForwardCompatibilityPrintingTest.testErrorAdapted [],org.junit.runners.model.TestClassTest.hasHashCodeWithoutJavaClass [],org.junit.experimental.categories.JavadocTest.fastSmokeTests [],org.junit.tests.assertion.AssertionTest.twoDimensionalArraysDifferentOuterLengthNotEqual [],org.junit.tests.experimental.max.MaxStarterTest.correctErrorFromHalfMalformedTest [],org.junit.rules.TestRuleTest.ignoreNonRules [],org.junit.rules.TemporaryFolderUsageTest.createInitializesRootFolder [],org.junit.tests.experimental.parallel.ParallelMethodTest.testsRunInParallel [],org.junit.rules.TestRuleTest.methodValidatePrivateRule [],org.junit.tests.assertion.AssertionTest.objectsNotEquals [],org.junit.tests.running.classes.SuiteTest.withoutSuiteClassAnnotationProducesFailure [],org.junit.samples.ListTest.testCopy [],org.junit.rules.MethodRulesTest.useCustomMethodRule [],org.junit.tests.listening.TestListenerTest.reportsFailureOfListener [],org.junit.rules.MethodRulesTest.ruleIsIntroducedAndEvaluated [],org.junit.rules.TimeoutRuleTest.timeUnitTimeout [],junit.tests.framework.SuiteTest.testNoTestCaseClass [],org.junit.tests.experimental.max.DescriptionTest.parseClass_whenCantParse [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClasses [],org.junit.tests.running.methods.AnnotationTest.testRunAllAfterClassesRegardless [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldNotIgnoreNonMatchingSingleDataPointExceptions [],org.junit.tests.junit3compatibility.AllTestsTest.someUsefulDescription [],org.junit.runner.JUnitCommandLineParseResultTest.shouldStopParsingOptionsUponDoubleHyphenArg [],org.junit.tests.experimental.theories.runner.WithOnlyTestAnnotations.testErrorWhenTestHasParametersDespiteTheories [],org.junit.tests.description.TestDescriptionTest.equalsIsFalseForNonTestDescription [],org.junit.tests.experimental.AssumptionTest.failedAssumptionsCanBeDetectedByListeners [],org.junit.rules.TempFolderRuleTest.subFolderIsDeleted [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldReturnGivenValue [],org.junit.tests.running.classes.ParentRunnerFilteringTest.testSuiteFilteringWithUnmodifyableChildList [],org.junit.validator.AnnotationValidatorFactoryTest.exceptionWhenAnnotationValidatorCantBeCreated [],junit.tests.framework.TestCaseTest.testTearDownFails [],org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest.initializationErrorsAreThrownAtRuntime []"
"junit4","70","org.junit.runners.BlockJUnit4ClassRunner.createTest()","58","org.junit.internal.runners.statements.FailOnTimeoutTest.sendUpExceptionThrownByStatement [],org.junit.tests.experimental.results.PrintableResultTest.includeMultipleFailures [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testClassRuleAccessToClassInAnotherClassLoader [],org.junit.tests.experimental.max.MaxStarterTest.preferNewTests [],junit.tests.runner.ResultTest.testRunAssumptionFailedResultCanBeSerialised [],org.junit.rules.RuleMemberValidatorTest.acceptStaticTestRuleThatIsAlsoClassRule [],org.junit.tests.assertion.AssertionTest.multiDimensionalArraysDeclaredAsOneDimensionalAreEqual [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.overrideCreateTestMethod [],org.junit.internal.runners.statements.FailOnTimeoutTest.throwExceptionWithNiceMessageOnTimeout [],org.junit.tests.assertion.AssertionTest.arraysDifferAtElement0nullMessage [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnTheoryParm [],org.junit.tests.running.classes.ParameterizedTestTest.countBeforeRun [],org.junit.tests.experimental.theories.ParameterSignatureTest.getAnnotations [],org.junit.rules.DisableOnDebugTest.givenPostJava5DebugArgumentsIsDebuggingShouldReturnTrue [],org.junit.internal.MethodSorterTest.testJvmMethodSorter [],junit.tests.framework.SuiteTest.testOneTestCase [],org.junit.runner.notification.RunNotifierTest.addFirstAndRemoveWithNonThreadSafeListener [],org.junit.runner.FilterFactoriesTest.shouldCreateFilterWithNoArguments [],org.junit.runners.model.FrameworkFieldTest.cannotBeCreatedWithoutUnderlyingField [],org.junit.rules.MethodRulesTest.validateWrongTypedFieldInSuperclass [],org.junit.tests.running.classes.ParameterizedTestTest.meaningfulFailureWhenParametersNotPublic [],org.junit.samples.money.MoneyTest.testNormalize2 [],org.junit.rules.TestRuleTest.methodOnlyApplyOnceEvenIfImplementsBothInterfaces [],org.junit.tests.running.classes.ParameterizedTestTest.meaningfulFailureWhenParametersAreNotAnIterable [],org.junit.tests.experimental.theories.ParameterSignatureTest.primitiveTypesShouldBeAcceptedAsWrapperTypes [],org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyRethrowsSingleError [],org.junit.experimental.categories.CategoryTest.emptyCategoriesSuite [],org.junit.internal.StackTracesTest.getTrimmedStackForJUnit4TestFailingInTestMethod [],org.junit.tests.description.SuiteDescriptionTest.equalsIsCorrect [],org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParametersTest.providesHelpfulMessageIfParameterFieldCannotBeSet [],org.junit.tests.manipulation.FilterTest.intersectSelf [],org.junit.tests.assertion.AssertionTest.twoDimensionalArraysDifferentOuterLengthNotEqual [],org.junit.rules.DisableOnDebugTest.givenArgumentsWithoutDebugFlagsIsDebuggingShouldReturnFalse [],org.junit.tests.experimental.max.MaxStarterTest.testsAreOnlyIncludedOnceWhenExpandingForSorting [],org.junit.tests.assertion.AssertionTest.stringNullAndNullWorksToo [],org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields.dataPointMethodsMustBeStatic [],junit.tests.framework.SuiteTest.testNotVoidTestCase [],junit.tests.framework.TestListenerTest.testError [],org.junit.experimental.categories.CategoryTest.testCountWithMultipleIncludeFilter [],org.junit.internal.ArrayComparisonFailureTest.classShouldAccept412Version [],org.junit.rules.ClassRulesTest.usesFieldAndMethodRule [],org.junit.internal.matchers.ThrowableCauseMatcherTest.shouldAllowCauseOfDifferentClassFromRoot [],org.junit.rules.TemporaryFolderUsageTest.canSetTheBaseFileForATemporaryFolder [],org.junit.tests.experimental.max.MaxStarterTest.junit3TestsAreRunOnce [],org.junit.rules.RuleMemberValidatorTest.rejectStaticTestRule [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testToStringSuite [],org.junit.tests.description.AnnotatedDescriptionTest.annotationsExistOnDescriptionsOfIgnoredClass [],junit.tests.framework.SuiteTest.testNoTestCaseClass [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClass2 [],org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyThrowsMultipleFailureExceptionForManyThrowables [],org.junit.rules.RuleMemberValidatorTest.rejectClassRuleMethodReturnsAnArbitraryObject [],org.junit.rules.RuleMemberValidatorTest.acceptMethodRule [],org.junit.runners.model.TestClassTest.providesAnnotatedMethodsSortedByName [],junit.tests.runner.ResultTest.testRunSuccessResultCanBeSerialised [],org.junit.tests.experimental.max.DescriptionTest.createSuiteDescription_whenZeroLength [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldReturnGivenValue [],org.junit.tests.listening.RunnerTest.testFinished []"
"junit4","100","org.junit.runners.BlockJUnit4ClassRunner.validateTestMethods(List<Throwable>)","39","org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest.generatedErrorTestsMatchUp [],org.junit.samples.money.MoneyTest.testNormalize4 [],org.junit.rules.RuleMemberValidatorTest.methodRejectArbitraryObjectWithRuleAnnotation [],org.junit.tests.assertion.AssertionTest.multiDimensionalArraysDifferentLengthMessage [],org.junit.runner.notification.SynchronizedRunListenerTest.hashCodeDelegates [],org.junit.tests.experimental.theories.internal.ParameterizedAssertionErrorTest.equalParameterizedAssertionErrorsHaveSameToString [],org.junit.tests.junit3compatibility.ForwardCompatibilityPrintingTest.testErrorAdapted [],org.junit.rules.TempFolderRuleTest.recursiveDeleteFolderWithOneRandomElement [],org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteHasACycle [],org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields.dataPointMethodsMustBeStatic [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.shouldFilterOutNullElementsFromDataPointArrays [],org.junit.rules.TestRuleTest.testRuleIsAroundMethodRule [],org.junit.tests.validation.BadlyFormedClassesTest.badBeforeMethodWithLegacyRunner [],org.junit.tests.running.methods.AnnotationTest.testAnnotatedMethod [],org.junit.experimental.categories.CategoryTest.testsThatAreBothIncludedAndExcludedAreExcluded [],org.junit.runner.FilterFactoriesTest.shouldPassOnDescriptionToFilterFactory [],org.junit.AssumptionViolatedExceptionTest.canSetCauseWithInstanceCreatedWithObjectAndMatcher [],org.junit.tests.experimental.max.MaxStarterTest.preferFast [],org.junit.rules.MethodRulesTest.multipleRulesAreRun [],org.junit.internal.runners.statements.FailOnTimeoutTest.stackTraceContainsRealCauseOfTimeout [],junit.tests.runner.ResultTest.testRunFailureResultCanBeReserialised_v4_12 [],junit.tests.framework.SuiteTest.testInheritedTests [],junit.tests.framework.SuiteTest.testAddTestSuite [],org.junit.tests.assertion.AssertionTest.multiDimensionalIntArraysAreEqual [],junit.tests.framework.FloatAssertTest.testAssertEqualsNaNFails [],org.junit.tests.experimental.max.MaxStarterTest.testCountsStandUpToFiltration [],org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedSingleMethodDataPoints [],org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteIsCalled [],org.junit.tests.assertion.AssertionTest.twoDimensionalArraysConvertedToStringCorrectly [],org.junit.rules.TempFolderRuleTest.tempFolderIsDeleted [],org.junit.tests.running.classes.ParameterizedTestTest.runsEveryTestOfArray [],org.junit.runner.JUnitCommandLineParseResultTest.shouldStopParsingOptionsUponDoubleHyphenArg [],org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields.nullsUsedUnlessProhibited [],org.junit.experimental.categories.CategoryTest.categoryFilterRejectsIncompatibleCategory [],org.junit.samples.ListTest.contains [],org.junit.rules.TestRuleTest.ruleIsIntroducedAndEvaluatedOnSubclass [],junit.tests.runner.TextFeedbackTest.testError [],junit.tests.framework.AssertTest.testAssertNullNotEqualsString [],org.junit.tests.manipulation.FilterTest.intersectSelf []"
"junit4","109","org.junit.internal.Checks.notNull(T,String)","37","org.junit.samples.money.MoneyTest.testBagSumAdd [],org.junit.samples.money.MoneyTest.testNormalize4 [],org.junit.rules.TemporaryFolderUsageTest.newRandomFileIsCreatedUnderRootFolder [],org.junit.tests.assertion.AssertionTest.assertThatIncludesDescriptionOfTestedValueInErrorMessage [],org.junit.tests.running.classes.RunWithTest.characterizeErrorMessageFromBadRunner [],org.junit.tests.running.classes.ParameterizedTestTest.failuresAddedForBadTestMethod [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.getDataPointsFromArray [],junit.tests.framework.AssertTest.testFail [],org.junit.tests.running.classes.SuiteTest.suiteShouldBeOKwithNonDefaultConstructor [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testToString [],junit.tests.framework.SuiteTest.testNoTestCases [],junit.tests.runner.ResultTest.testRunAssumptionFailedResultCanBeReserialised_v4_13 [],org.junit.tests.running.methods.TestMethodTest.compatibility [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testDescriptionContainCorrectTestClass [],org.junit.rules.MethodRulesTest.validateWrongTypedField [],org.junit.runners.model.TestClassTest.identifiesPublicModifier [],org.junit.samples.money.MoneyTest.testBagSimpleAdd [],org.junit.internal.MethodSorterTest.testDefaultMethodSorter [],org.junit.rules.RuleMemberValidatorTest.rejectStaticMethodRule [],org.junit.internal.runners.statements.FailOnTimeoutTest.stackTraceContainsRealCauseOfTimeout [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithActualNullContext [],org.junit.rules.TimeoutRuleTest.timeUnitTimeout [],org.junit.tests.ObjectContractTest.equalsThrowsNoException [],org.junit.tests.assertion.AssertionTest.failWithNoMessageToString [],org.junit.runners.model.TestClassTest.identifiesNonPublicModifier [],org.junit.tests.assertion.AssertionTest.nullMessageDisappearsWithStringAssertEquals [],org.junit.tests.running.core.JUnitCoreReturnsCorrectExitCodeTest.successCausesExitCodeOf0 [],org.junit.rules.TestRuleTest.methodValidateWrongTypedField [],org.junit.rules.ClassRulesTest.classRulesModifiableList [],org.junit.tests.validation.BadlyFormedClassesTest.constructorException [],org.junit.tests.experimental.theories.internal.ParameterizedAssertionErrorTest.sameHashCodeWhenEquals [],org.junit.experimental.categories.CategoryTest.categoryFilterLeavesOnlyMatchingMethods_usingConstructor [],org.junit.tests.experimental.theories.runner.WithParameterSupplier.shouldRejectSuppliersWithTwoConstructors [],org.junit.internal.StackTracesTest.getTrimmedStackForJUnit3TestFailingInTestMethod [],org.junit.tests.assertion.AssertionTest.objectsAreSame [],org.junit.runner.FilterFactoriesTest.shouldCreateFilterWithArguments []"
"junit4","118","org.junit.experimental.theories.internal.AllMembersSupplier.getSingleDataPointMethods(ParameterSignature)","33","org.junit.tests.deprecated.JUnit4ClassRunnerTest.runWithOldJUnit4ClassRunnerAndBadConstructor [],org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.dataPointsCollectionFieldsShouldBeRecognized [],junit.tests.runner.BaseTestRunnerTest.testInvokeNonStaticSuite [],org.junit.runners.model.TestClassTest.annotatedMethodValues [],org.junit.internal.MethodSorterTest.testMethodsNullSorterSub [],org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteHasACycle [],org.junit.rules.MethodRulesTest.ignoreNonRules [],junit.tests.framework.DoublePrecisionAssertTest.testAssertNegInfinityEqualsInfinity [],org.junit.experimental.categories.CategoryTest.sameAsNoIncludeCategoryAnnotation [],org.junit.tests.running.classes.ParentRunnerFilteringTest.testSuiteFiltering [],org.junit.internal.runners.statements.FailOnTimeoutTest.throwsTestTimedOutException [],junit.tests.framework.SuiteTest.testNoTestCases [],junit.tests.framework.TestCaseTest.testNoArgTestCasePasses [],org.junit.rules.TemporaryFolderUsageTest.newFolderWithGivenPathThrowsIllegalStateExceptionIfCreateWasNotInvoked [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldIgnoreMultipleDataPointMethodExceptionsOnRequest [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.overrideTestRulesMethod [],org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithBeforeClass [],org.junit.tests.assertion.AssertionTest.objectsWithDiferentReferencesAreNotEqual [],org.junit.rules.MethodRulesTest.ruleIsIntroducedAndEvaluated [],org.junit.rules.TemporaryFolderUsageTest.canSetTheBaseFileForATemporaryFolder [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClass [],org.junit.tests.experimental.AssumptionTest.failedAssumptionsMeanPassing [],org.junit.tests.experimental.max.MaxStarterTest.halfMalformed [],org.junit.tests.running.classes.IgnoreClassTest.ignoreClass [],org.junit.tests.running.methods.AnnotationTest.testExceptionNotThrown [],org.junit.tests.assertion.AssertionTest.arraysActualNullMessage [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithExpectedNull [],junit.tests.framework.AssertTest.testAssertEqualsNull [],org.junit.rules.TestRuleTest.methodRuleIsIntroducedAndEvaluated [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.getDataPointsFromArrayMethod [],org.junit.rules.RuleMemberValidatorTest.methodRejectNonStaticClassRule [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.ShouldRejectTheoriesWithOnlyDisallowedNullData []"
"junit4","130","org.junit.internal.runners.JUnit4ClassRunner.validate()","29","org.junit.tests.experimental.theories.internal.ParameterizedAssertionErrorTest.equalParameterizedAssertionErrorsHaveSameToString [],org.junit.tests.assertion.AssertionTest.notEqualsNullWithObject [],org.junit.experimental.categories.CategoryTest.describeMultipleCategoryFilter [],org.junit.runners.parameterized.TestWithParametersTest.cannotBeCreatedWithoutParameters [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnWildcardUpperBoundOnTheoryParm [],org.junit.internal.runners.ErrorReportingRunnerTest.givenInvalidTestClassErrorAsCause [],org.junit.tests.experimental.theories.extendingwithstubs.StubbedTheoriesTest.ask [],junit.tests.framework.SuiteTest.testNotVoidTestCase [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testDescriptionContainCorrectTestClass [],org.junit.tests.assertion.AssertionTest.nullAndStringNullPrintCorrectError [],org.junit.tests.assertion.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testNoException [],org.junit.tests.running.methods.ExpectedTest.noneThrown [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.getDataPointsFromArrayMethodInSpiteOfMalformedness [],junit.tests.extensions.ExtensionTest.testRunningErrorsInTestSetup [],junit.tests.framework.TestCaseTest.testErrorTearingDownDoesntMaskErrorRunning [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClass [],org.junit.runner.JUnitCommandLineParseResultTest.shouldParseFilterArgWithEqualsSyntax [],org.junit.internal.ArrayComparisonFailureTest.classShouldAccept411Version [],org.junit.runner.FilterFactoriesTest.shouldThrowExceptionIfNotFilterFactory [],org.junit.tests.running.methods.AnnotationTest.testOneTimeSetup [],org.junit.runners.parameterized.TestWithParametersTest.isNotEqualToTestWithDifferentParameters [],org.junit.rules.TemporaryFolderUsageTest.newFolderThrowsIllegalStateExceptionIfCreateWasNotInvoked [],org.junit.tests.experimental.theories.ParameterSignatureTest.wrapperTypesShouldBeAcceptedAsPrimitiveTypes [],org.junit.tests.assertion.AssertionTest.nullMessageDisappearsWithAssertEquals [],org.junit.rules.TestRuleTest.useCustomMethodRule [],org.junit.samples.money.MoneyTest.testSimpleMultiply [],junit.tests.framework.DoublePrecisionAssertTest.testAssertPosInfinityNotEqualsNegInfinity [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnComponentOfArrayTypeOnTheoryParm []"
"junit4","136","org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters.getInjectionType()","28","org.junit.tests.assertion.AssertionTest.assertThrowsReturnsTheSameObjectThrown [],org.junit.internal.runners.statements.ExpectExceptionTest.whenExpectingAssumptionViolatedExceptionStatementsThrowingSubclassShouldPass [],org.junit.tests.experimental.AssumptionTest.assumeNotNullPasses [],org.junit.validator.PublicClassValidatorTest.rejectsNonPublicClass [],org.junit.internal.runners.ErrorReportingRunnerTest.givenInvalidTestClass_integrationTest [],junit.tests.framework.SuiteTest.testNoTestCases [],org.junit.tests.experimental.theories.runner.WithParameterSupplier.shouldAcceptSuppliersWithTestClassConstructor [],org.junit.tests.experimental.max.DescriptionTest.parseMethod_whenCantParse [],junit.tests.framework.FloatAssertTest.testAssertNaNEqualsFails [],org.junit.internal.ChecksTest.notNullWithMessageShouldThrowOnNullValues [],junit.tests.framework.AssertTest.testAssertFalse [],org.junit.rules.MethodRulesTest.useCustomMethodRule [],org.junit.tests.running.classes.EnclosedTest.enclosedRunnerPlansConcreteEnclosedClasses [],junit.tests.extensions.ActiveTestTest.testActiveRepeatedTest1 [],org.junit.experimental.categories.CategoryFilterFactoryTest.shouldCreateFilter [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldNotUseQuotesForNullValueDescriptions [],org.junit.tests.junit3compatibility.AllTestsTest.someUsefulDescription [],org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedMethodDataPoints [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.overrideRulesMethod [],org.junit.tests.experimental.theories.runner.WithAutoGeneratedDataPoints.shouldNotAutogenerateBooleanDataPointsWhenSpecificDataPointGiven [],org.junit.tests.experimental.max.MaxStarterTest.preferNewTestsOverTestsThatFailed [],org.junit.tests.assertion.AssertionTest.oneDimensionalDoubleArraysAreNotEqual [],org.junit.rules.TempFolderRuleTest.subFolderIsDeleted [],org.junit.rules.TestRuleTest.ruleIsIntroducedAndEvaluatedOnSubclass [],org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyDoesNotThrowForEmptyList [],org.junit.rules.TemporaryFolderUsageTest.getRootShouldThrowIllegalStateExceptionIfCreateWasNotInvoked []"
"junit4","141","org.junit.internal.runners.JUnit4ClassRunner.run(RunNotifier)","26","org.junit.runners.model.TestClassTest.identifyNonStaticInnerClass [],org.junit.tests.running.core.CommandLineTest.runTwoClasses [],org.junit.tests.running.classes.RunWithTest.characterizeErrorMessageFromBadRunner [],org.junit.tests.running.classes.ParentRunnerFilteringTest.testSuiteFiltering [],junit.tests.framework.TestCaseTest.testFailure [],org.junit.runner.notification.RunNotifierTest.notifiesSecondListenerIfFirstThrowsException [],org.junit.rules.RuleMemberValidatorTest.acceptMethodStaticTestRuleThatIsAlsoClassRule [],org.junit.runners.parameterized.TestWithParametersTest.cannotBeCreatedWithoutAName [],org.junit.tests.manipulation.SingleMethodTest.nonexistentMethodCreatesFailure [],org.junit.samples.ListTest.testCopy [],org.junit.tests.assertion.AssertionTest.objectsWithDiferentReferencesAreNotEqual [],junit.tests.framework.SuiteTest.testNoTestCaseClass [],org.junit.tests.listening.TestListenerTest.failingListener [],org.junit.rules.MethodRulesTest.validateWrongTypedFieldInSuperclass [],org.junit.tests.running.classes.IgnoreClassTest.ignoreClass [],junit.tests.extensions.ActiveTestTest.testActiveTest [],org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.dataPointsArrayShouldBeRecognized [],org.junit.tests.listening.TestListenerTest.freshResultEachTime [],junit.tests.framework.ComparisonCompactorTest.testBug609972 [],org.junit.tests.experimental.theories.ParameterSignatureTest.primitiveTypesShouldBeAcceptedAsWrapperTypes [],org.junit.rules.TemporaryFolderUsageTest.deleteShouldDoNothingIfRootFolderWasNotInitialized [],org.junit.tests.running.methods.AnnotationTest.testTwoTests [],org.junit.tests.experimental.max.DescriptionTest.createSuiteDescription_whenZeroLength [],org.junit.tests.manipulation.SingleMethodTest.parameterizedBeforeClass [],junit.tests.framework.ComparisonCompactorTest.testStartAndEndContextWithEllipses [],org.junit.tests.assertion.AssertionTest.assertThrowsRequiresAnExceptionToBeThrown []"
"junit4","157","org.junit.runners.ParentRunner.classBlock(RunNotifier)","23","junit.tests.framework.TestListenerTest.testStartStop [],junit.tests.runner.TextRunnerSingleMethodTest.testSingle [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorEndSameCompleteContext [],org.junit.tests.running.classes.ParentRunnerFilteringTest.testRunSuiteFiltering [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldFailFromExceptionsInDataPointArrayMethods [],org.junit.rules.RuleMemberValidatorTest.rejectClassRuleMethodReturnsAnArbitraryObject [],org.junit.tests.junit3compatibility.JUnit4TestAdapterTest.testJUnit4SuiteThatContainsJUnit3SuiteClass [],org.junit.tests.running.core.CommandLineTest.runTwoClassesAsArray [],org.junit.tests.running.methods.AnnotationTest.testRunAllAftersRegardless [],org.junit.tests.assertion.AssertionTest.multiDimensionalArraysDifferentLengthNoMessage [],org.junit.tests.manipulation.SingleMethodTest.oneTimeSetup [],org.junit.rules.TemporaryFolderUsageTest.createInitializesRootFolder [],org.junit.tests.description.AnnotatedDescriptionTest.characterizeCreatingMyOwnAnnotation [],org.junit.runners.model.TestClassTest.dontMarkStaticInnerClassAsNonStatic [],junit.tests.framework.SuiteTest.testNoTestCases [],org.junit.tests.description.TestDescriptionTest.equalsIsTrueForSameNameAndNoExplicitUniqueId [],org.junit.internal.runners.statements.FailOnTimeoutTest.throwExceptionWithNiceMessageOnTimeout [],org.junit.rules.TestWatchmanTest.logFailingTest [],org.junit.runner.FilterFactoriesTest.shouldCreateFilter [],junit.tests.framework.NoArgTestCaseTest.testNothing [],org.junit.rules.TestWatchmanTest.logFailingTest [],org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteHasAForkingCycle [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorOverlappingMatchesContext []"
"junit4","158","org.junit.runner.Result.createListener()","23","org.junit.tests.assertion.AssertionTest.longsNotEqual [],org.junit.tests.listening.UserStopTest.userStop [],org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest.generatedErrorTestsMatchUp [],org.junit.tests.running.classes.ParameterizedTestTest.multipleParametersBeforeParamAndAfterParamAreRun [],org.junit.runners.model.TestClassTest.complainIfMultipleConstructors [],org.junit.tests.running.methods.AnnotationTest.testShadowing [],org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyRethrowsSingleRuntimeException [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithExpectedNull [],org.junit.runners.parameterized.TestWithParametersTest.cannotBeCreatedWithoutTestClass [],org.junit.runner.JUnitCommandLineParseResultTest.shouldStopParsingOptionsUponDoubleHyphenArg [],org.junit.tests.experimental.parallel.ParallelMethodTest.testsRunInParallel [],org.junit.tests.experimental.max.DescriptionTest.parseClassAndMethodNoAnnotations [],org.junit.experimental.categories.CategoryTest.testCountWithMultipleIncludeFilter [],junit.tests.framework.ComparisonCompactorTest.testNoContextStartAndEndSame [],org.junit.tests.manipulation.SingleMethodTest.parameterizedBeforeClass [],org.junit.tests.experimental.theories.ParameterSignatureTest.getAnnotations [],org.junit.tests.assertion.AssertionTest.implicitTypecastEquality [],org.junit.tests.assertion.AssertionTest.objectsNotEquals [],org.junit.tests.running.classes.ParameterizedTestTest.countsFailures [],org.junit.tests.experimental.theories.runner.TypeMatchingBetweenMultiDataPointsMethod.pickUpMultiPointDataPointMethods [],org.junit.tests.running.methods.ExpectedTest.expected [],org.junit.tests.assertion.AssertionTest.assertNotEqualsIncludesTheValueBeingTested [],junit.tests.framework.TestCaseTest.testTearDownAfterError []"
