"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:78 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","118409812","1280449","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:80 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:81 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:82 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:83 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:84 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:85 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"8","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:87 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:89 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:90 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"11","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:91 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","123291655","1522950","false","N/A","N/A","N/A","N/A","false","1"
