"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)","76","spark.GenericIntegrationTest.testGetInputStreamHi [],spark.RedirectTest.testRedirectAnyPut [],spark.GenericIntegrationTest.testParamAndWild [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.GenericSecureIntegrationTest.testNotFound [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.testUnauthorized [],spark.GenericIntegrationTest.testPost [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.GenericSecureIntegrationTest.testUnauthorized [],spark.BooksIntegrationTest.canUpdateBook [],spark.BooksIntegrationTest.canGetUpdatedBook [],spark.ResponseBodyTest.testHELLO [],spark.GzipTest.checkGzipCompression [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.GenericIntegrationTest.testGetRoot [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.BodyAvailabilityTest.testPost [],spark.RedirectTest.testRedirectPut [],spark.RedirectTest.testRedirectAnyPutWithSpecificCode [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.MultipleServicesTest.testGetHello [],spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.ResponseBodyTest.testPORAKATIKAOKAO [],spark.staticfiles.StaticFilesTest.testMimeTypes [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.StaticFilesFromArchiveTest.testCss [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.GenericIntegrationTest.testSplatWithEncodedSlash [],spark.BooksIntegrationTest.canCreateBook [],spark.GenericIntegrationTest.testSessionReset [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.GenericSecureIntegrationTest.testXForwardedFor [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.CookiesIntegrationTest.testEmptyCookies [],spark.MultipleFiltersTest.testMultipleFilters [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.GenericIntegrationTest.testEchoParam1 [],spark.RedirectTest.testRedirectDelete [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.BooksIntegrationTest.canDeleteBook [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.StaticFilesMemberTest.testStaticFileExpireTime [],spark.GenericIntegrationTest.testEchoParam3 [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.BooksIntegrationTest.canGetBook [],spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.RedirectTest.testRedirectAnyDeleteWithSpecificCode [],spark.RedirectTest.testRedirectAnyGet [],spark.StaticFilesMemberTest.testExceptionMapping404 []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","32","spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.CookiesIntegrationTest.testCreateCookie [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.BooksIntegrationTest.canDeleteBook [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.GenericIntegrationTest.testExceptionMapper [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.MultipleFiltersTest.testMultipleFilters [],spark.MultipleServicesTest.testGetHello [],spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.GenericIntegrationTest.path_should_prefix_routes [],spark.customerrorpages.CustomErrorPagesTest.testGetHi [],spark.embeddedserver.jetty.SocketConnectorFactoryTest.testCreateSocketConnector [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.GenericIntegrationTest.testNotFoundExceptionMapper []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","25","spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.StaticFilesFromArchiveTest.testCss [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.BooksIntegrationTest.canDeleteBook [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.GenericIntegrationTest.testParamAndWild [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.testEchoParam3 [],spark.embeddedserver.EmbeddedServersTest.testAddAndCreate_whenCreate_createsCustomServer [],spark.GenericIntegrationTest.testTypedExceptionMapper [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.BooksIntegrationTest.canGetBook [],spark.RedirectTest.testRedirectPutWithSpecificCode [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.GenericIntegrationTest.testUnauthorized [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.ResponseBodyTest.testPORAKATIKAOKAO [],spark.BooksIntegrationTest.canUpdateBook [],spark.embeddedserver.jetty.SocketConnectorFactoryTest.testCreateSocketConnector_whenServerIsNull_thenThrowException []"
"spark","4","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","18","spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.GenericIntegrationTest.testGetHi [],spark.GenericIntegrationTest.testSessionReset [],spark.GenericIntegrationTest.testEchoParam3 [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericIntegrationTest.testTypedExceptionMapper [],spark.GenericIntegrationTest.testUnauthorized [],spark.GenericIntegrationTest.testNotFound [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.GenericIntegrationTest.paths_should_be_nestable []"
"spark","5","spark.http.matching.MatcherFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","18","spark.GenericIntegrationTest.testGetBinaryHi [],spark.RedirectTest.testRedirectPost [],spark.GenericIntegrationTest.testGetHi [],spark.RedirectTest.testRedirectAnyDelete [],spark.BooksIntegrationTest.canCreateBook [],spark.StaticFilesMemberTest.testStaticFileExpireTime [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.GenericIntegrationTest.testHiHead [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.RedirectTest.testRedirectPutWithSpecificCode [],spark.GenericSecureIntegrationTest.testXForwardedFor [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.staticfiles.StaticFilesTest.testExternalStaticFile [],spark.RedirectTest.testRedirectDeleteWithSpecificCode [],spark.servlet.ServletTest.testGetRoot [],spark.RedirectTest.testRedirectAnyPost []"
"spark","6","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","12","spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.RedirectTest.testRedirectAnyPostWithSpecificCode [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.GenericIntegrationTest.testPathParamsWithPlusSign [],spark.RedirectTest.testRedirectGet [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_useDefaults [],spark.GenericIntegrationTest.testNotFound [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_whenNonDefaultMaxThreadOnly_thenUseDefaultMinThreadAndTimeout [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.customerrorpages.CustomErrorPagesTest.testCustomNotFound [],spark.GenericIntegrationTest.testPatch []"
"spark","7","spark.embeddedserver.jetty.JettyHandler.doHandle(String,Request,HttpServletRequest,HttpServletResponse)","9","spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.StaticFilesMemberTest.testStaticFilePageHtml [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.testNotFound [],spark.GenericIntegrationTest.testSessionReset [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.staticfiles.StaticFilesTest.testDirectoryTraversalProtectionLocal [],spark.GenericIntegrationTest.testInheritanceExceptionMapper []"
"spark","8","spark.Service.getPaths()","8","spark.GenericIntegrationTest.testGetHi [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.staticfiles.StaticFilesTest.testCustomMimeType [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.GenericSecureIntegrationTest.testHiHead [],spark.StaticFilesMemberTest.testExternalStaticFile []"
"spark","9","spark.staticfiles.StaticFilesConfiguration.configure(String)","6","spark.StaticFilesMemberTest.testStaticFilePageHtml [],spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.GenericIntegrationTest.testNotFound [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.StaticFilesMemberTest.testExceptionMapping404 []"
"spark","10","spark.utils.MimeParse.parseMimeType(String)","6","spark.RedirectTest.testRedirectAnyPut [],spark.GenericIntegrationTest.testEchoParam1 [],spark.GenericIntegrationTest.path_should_prefix_routes [],spark.RedirectTest.testRedirectAnyGet []"
