Project,EditType,PatchSize,UniqueValid,UniqueCompiled,UniquePassed,UniquePatches,Valid,Compiled,Passed,AllPatches
arthas,LINE,1,407,160,153,407,407,160,153,407
arthas,STATEMENT,1,262,236,216,262,262,236,216,262
disruptor,LINE,1,136,31,27,136,136,31,27,136
disruptor,STATEMENT,1,70,29,25,70,70,29,25,70
druid,LINE,1,10613,4302,3343,10613,10613,4302,3343,10613
druid,STATEMENT,1,8108,5659,4438,8108,8108,5659,4438,8108
gson,LINE,1,1252,339,231,1252,1252,339,231,1252
gson,STATEMENT,1,903,522,336,922,903,522,336,922
jcodec,LINE,1,7997,2465,928,7997,7997,2465,928,7997
jcodec,STATEMENT,1,5816,3466,1296,5826,5816,3466,1296,5826
junit4,LINE,1,2688,396,361,2688,2688,396,361,2688
junit4,STATEMENT,1,1762,545,491,1773,1762,545,491,1773
mybatis-3,LINE,1,4047,965,674,4047,4047,965,674,4047
mybatis-3,STATEMENT,1,2875,1358,890,2875,2875,1358,890,2875
opennlp,LINE,1,4541,1172,754,4541,4541,1172,754,4541
opennlp,STATEMENT,1,3277,1888,1108,3319,3277,1888,1108,3319
spark,LINE,1,830,233,106,830,830,233,106,830
spark,STATEMENT,1,567,329,145,567,567,329,145,567
spatial4j,LINE,1,947,313,218,947,947,313,218,947
spatial4j,STATEMENT,1,653,393,252,674,653,393,252,674
