Project,EditType,PatchSize,EditCompiled,Frequency
arthas,LINE,2,FP,10
arthas,LINE,1,P,472
arthas,LINE,2,PP,132
arthas,LINE,3,PPP,31
arthas,LINE,4,FFFP,4
arthas,LINE,3,FFP,5
arthas,LINE,2,CP,1
arthas,LINE,4,PPCP,1
arthas,LINE,5,PPPPP,1
arthas,LINE,4,PPPP,4
arthas,LINE,3,FPP,4
arthas,LINE,3,PFP,3
arthas,LINE,4,PPFP,4
arthas,LINE,5,PPFFP,2
arthas,LINE,4,PFFP,1
arthas,LINE,5,FFFPP,1
arthas,LINE,4,FFCP,1
arthas,LINE,5,FFFFP,2
arthas,LINE,5,FFPPP,1
arthas,LINE,3,FCP,1
arthas,LINE,5,FFCFP,1
arthas,STATEMENT,1,P,777
arthas,STATEMENT,3,FPP,13
arthas,STATEMENT,2,PP,588
arthas,STATEMENT,4,PPPP,238
arthas,STATEMENT,2,FP,27
arthas,STATEMENT,3,CPP,1
arthas,STATEMENT,5,FPPPP,22
arthas,STATEMENT,3,PPP,391
arthas,STATEMENT,5,PPPPP,418
arthas,STATEMENT,5,FFFPP,11
arthas,STATEMENT,3,FFP,10
arthas,STATEMENT,4,FPPP,7
arthas,STATEMENT,5,PPPFP,3
arthas,STATEMENT,5,PPFPP,5
arthas,STATEMENT,5,FPFFP,1
arthas,STATEMENT,5,FFPPP,17
arthas,STATEMENT,5,PFPPP,4
arthas,STATEMENT,4,FFFP,5
arthas,STATEMENT,5,PCPPP,1
arthas,STATEMENT,5,FFFFP,3
arthas,STATEMENT,5,PFFFP,4
arthas,STATEMENT,4,PPFP,22
arthas,STATEMENT,5,PPFFP,17
arthas,STATEMENT,4,PPCP,6
arthas,STATEMENT,5,PPCFP,2
arthas,STATEMENT,5,PPPCP,1
arthas,STATEMENT,5,PPCCP,4
arthas,STATEMENT,4,PFPP,1
arthas,STATEMENT,4,FFPP,1
arthas,STATEMENT,4,PFFP,1
arthas,STATEMENT,5,CCCPP,1
arthas,STATEMENT,5,CPPPP,1
arthas,STATEMENT,5,CCPPP,1
disruptor,LINE,1,P,148
disruptor,LINE,2,FP,47
disruptor,LINE,5,FFCFP,1
disruptor,LINE,3,PPP,24
disruptor,LINE,2,PP,85
disruptor,LINE,5,FFFFP,5
disruptor,LINE,3,FPP,10
disruptor,LINE,4,FFPP,4
disruptor,LINE,3,FFP,14
disruptor,LINE,4,FFFP,7
disruptor,LINE,5,PPPPP,4
disruptor,LINE,5,PPFFP,2
disruptor,LINE,3,PFP,6
disruptor,LINE,4,PFPP,2
disruptor,LINE,5,PFFFP,2
disruptor,LINE,4,PPPP,5
disruptor,LINE,5,FPFFP,2
disruptor,LINE,5,FFFPP,3
disruptor,LINE,5,PPFPP,1
disruptor,LINE,5,PFFPP,1
disruptor,LINE,2,CP,2
disruptor,LINE,4,PFFP,1
disruptor,LINE,4,FPPP,5
disruptor,LINE,4,PPFP,2
disruptor,LINE,5,FPFPP,1
disruptor,STATEMENT,5,PPPPP,253
disruptor,STATEMENT,1,P,237
disruptor,STATEMENT,2,PP,242
disruptor,STATEMENT,4,PPPP,111
disruptor,STATEMENT,3,PPP,188
disruptor,STATEMENT,5,FPPPP,43
disruptor,STATEMENT,5,PCCPP,1
disruptor,STATEMENT,2,CP,5
disruptor,STATEMENT,4,CCCP,2
disruptor,STATEMENT,5,CPPPP,3
disruptor,STATEMENT,5,CCCCP,3
disruptor,STATEMENT,5,FFFFP,18
disruptor,STATEMENT,4,CPPP,3
disruptor,STATEMENT,5,FFPPP,27
disruptor,STATEMENT,5,FFFPP,18
disruptor,STATEMENT,5,PFFFP,2
disruptor,STATEMENT,3,FPP,10
disruptor,STATEMENT,4,FPPP,11
disruptor,STATEMENT,4,PPFP,29
disruptor,STATEMENT,5,PPFPP,3
disruptor,STATEMENT,2,FP,15
disruptor,STATEMENT,3,FFP,6
