Project,EditType,PatchSize,UniqueValid,UniqueCompiled,UniquePassed,UniquePatches,Valid,Compiled,Passed,AllPatches
arthas,LINE,1,5295,743,561,5295,9407,1550,907,9407
arthas,LINE,2,9483,496,216,9483,9905,543,226,9905
arthas,LINE,3,9956,195,66,9956,9972,196,66,9972
arthas,LINE,4,9999,110,28,9999,9999,110,28,9999
arthas,LINE,5,9999,70,14,9999,9999,70,14,9999
arthas,STATEMENT,1,4962,2213,1681,4962,8629,4377,2694,8629
arthas,STATEMENT,2,7789,3379,1861,9254,8107,3686,2008,9744
arthas,STATEMENT,3,7534,2918,1304,9888,7542,2929,1313,9905
arthas,STATEMENT,4,7043,2414,909,9910,7044,2414,909,9911
arthas,STATEMENT,5,6659,2095,630,9901,6659,2095,630,9901
disruptor,LINE,1,5207,204,165,5207,9313,745,664,9313
disruptor,LINE,2,9476,235,214,9476,9863,260,239,9863
disruptor,LINE,3,9962,99,89,9962,9973,101,90,9973
disruptor,LINE,4,9984,61,51,9984,9984,61,51,9984
disruptor,LINE,5,9997,42,29,9997,9997,42,29,9997
disruptor,STATEMENT,1,3503,649,445,3503,7606,1682,1304,7606
disruptor,STATEMENT,2,6411,1383,992,8121,7323,1520,1109,9342
disruptor,STATEMENT,3,6650,1213,828,9616,6744,1220,834,9782
disruptor,STATEMENT,4,6287,1003,650,9904,6293,1006,653,9915
disruptor,STATEMENT,5,5908,858,537,9967,5908,858,537,9968
druid,LINE,1,8649,1273,949,8649,9432,1439,1086,9432
druid,LINE,2,9827,542,350,9827,9855,545,351,9855
druid,LINE,3,9961,252,141,9961,9961,252,141,9961
druid,LINE,4,9988,115,64,9988,9988,115,64,9988
druid,LINE,5,9988,70,35,9988,9988,70,35,9988
druid,STATEMENT,1,7329,2293,1699,7329,8143,2551,1892,8143
druid,STATEMENT,2,7740,1931,1301,9452,7793,1934,1302,9521
druid,STATEMENT,3,7190,1474,915,9823,7194,1474,915,9829
druid,STATEMENT,4,6746,1153,678,9919,6746,1153,678,9919
druid,STATEMENT,5,6399,951,540,9954,6400,951,540,9955
gson,LINE,1,7287,529,372,7287,9507,830,573,9507
gson,LINE,2,9774,232,132,9774,9885,238,135,9885
gson,LINE,3,9966,89,34,9966,9970,90,34,9970
gson,LINE,4,9989,31,8,9989,9990,31,8,9990
gson,LINE,5,9992,32,8,9992,9992,32,8,9992
gson,STATEMENT,1,5958,1136,742,5995,7983,1684,1107,8039
gson,STATEMENT,2,7132,1168,668,9102,7330,1191,682,9373
gson,STATEMENT,3,6628,855,430,9599,6638,856,431,9618
gson,STATEMENT,4,6126,650,287,9682,6127,650,287,9684
gson,STATEMENT,5,5728,546,225,9700,5728,546,225,9700
jcodec,LINE,1,8899,1122,574,8899,9536,1238,636,9536
jcodec,LINE,2,9897,424,173,9897,9907,424,173,9907
jcodec,LINE,3,9976,159,51,9976,9976,159,51,9976
jcodec,LINE,4,9993,82,24,9993,9993,82,24,9993
jcodec,LINE,5,9994,34,10,9994,9994,34,10,9994
jcodec,STATEMENT,1,7739,2199,1053,7743,8428,2455,1163,8432
jcodec,STATEMENT,2,7934,1797,725,9579,7960,1800,726,9614
jcodec,STATEMENT,3,7349,1313,461,9836,7349,1313,461,9836
jcodec,STATEMENT,4,6866,1038,344,9879,6866,1038,344,9879
jcodec,STATEMENT,5,6511,851,270,9893,6511,851,270,9893
junit4,LINE,1,7843,396,354,7843,9219,527,479,9219
junit4,LINE,2,9732,199,172,9732,9785,203,176,9785
junit4,LINE,3,9918,98,88,9918,9918,98,88,9918
junit4,LINE,4,9958,74,66,9958,9958,74,66,9958
junit4,LINE,5,9983,50,43,9983,9983,50,43,9983
junit4,STATEMENT,1,6033,1005,897,6110,7440,1241,1122,7547
junit4,STATEMENT,2,7015,1134,1005,9152,7134,1142,1012,9310
junit4,STATEMENT,3,6523,929,814,9770,6530,930,815,9781
junit4,STATEMENT,4,6094,799,697,9914,6095,799,697,9915
junit4,STATEMENT,5,5768,699,604,9964,5768,699,604,9964
mybatis-3,LINE,1,8316,773,555,8316,9410,936,663,9410
mybatis-3,LINE,2,9828,303,193,9828,9865,306,194,9865
mybatis-3,LINE,3,9956,129,75,9956,9959,129,75,9959
mybatis-3,LINE,4,9988,55,28,9988,9988,55,28,9988
mybatis-3,LINE,5,9990,25,14,9990,9990,25,14,9990
mybatis-3,STATEMENT,1,6987,1762,1176,6987,8063,2059,1366,8063
mybatis-3,STATEMENT,2,7621,1640,978,9499,7676,1648,982,9562
mybatis-3,STATEMENT,3,7037,1270,692,9868,7042,1272,693,9873
mybatis-3,STATEMENT,4,6555,1033,527,9950,6555,1033,527,9950
mybatis-3,STATEMENT,5,6197,905,445,9974,6197,905,445,9974
opennlp,LINE,1,8170,704,409,8170,9477,869,492,9477
opennlp,LINE,2,9849,247,141,9849,9893,249,141,9893
opennlp,LINE,3,9976,90,50,9976,9976,90,50,9976
opennlp,LINE,4,9984,41,12,9984,9984,41,12,9984
opennlp,LINE,5,9989,18,3,9989,9989,18,3,9989
opennlp,STATEMENT,1,7107,1819,1073,7116,8313,2133,1245,8323
opennlp,STATEMENT,2,7830,1546,804,9518,7900,1556,812,9626
opennlp,STATEMENT,3,7331,1132,566,9864,7335,1132,566,9870
opennlp,STATEMENT,4,6871,905,416,9951,6871,905,416,9951
opennlp,STATEMENT,5,6478,751,343,9974,6478,751,343,9974
spark,LINE,1,6753,565,251,6753,9433,1098,476,9433
spark,LINE,2,9735,359,133,9735,9888,371,137,9888
spark,LINE,3,9955,139,46,9955,9960,140,46,9960
spark,LINE,4,9982,103,28,9982,9982,103,28,9982
spark,LINE,5,9993,57,11,9993,9993,57,11,9993
spark,STATEMENT,1,5570,1590,657,5582,8075,2596,1059,8104
spark,STATEMENT,2,7431,2082,745,9226,7686,2167,788,9579
spark,STATEMENT,3,7044,1712,545,9862,7060,1716,546,9890
spark,STATEMENT,4,6579,1368,395,9958,6579,1368,395,9959
spark,STATEMENT,5,6206,1143,315,9987,6206,1143,315,9987
spatial4j,LINE,1,6882,546,347,6882,9443,984,690,9443
spatial4j,LINE,2,9748,310,203,9748,9857,317,208,9857
spatial4j,LINE,3,9959,135,91,9959,9960,135,91,9960
spatial4j,LINE,4,9982,83,62,9982,9982,83,62,9982
spatial4j,LINE,5,9991,29,19,9991,9991,29,19,9991
spatial4j,STATEMENT,1,5563,1280,889,5739,7821,2076,1491,8156
spatial4j,STATEMENT,2,7014,1336,782,9056,7294,1362,802,9436
spatial4j,STATEMENT,3,6619,927,481,9745,6634,928,482,9776
spatial4j,STATEMENT,4,6106,725,348,9881,6106,725,348,9881
spatial4j,STATEMENT,5,5674,594,259,9909,5674,594,259,9909
